text,label
"In the beginning, there was your mouth:
soft rose, rose murmur, murmured breath, a warm

cardinal wind that drew my needle north.
Magnetic flux, the press of form to form. 

In the beginning, there was your mouth—
the trailhead, the pathhead faintly opened,

the canyon, river-carved, farther south,
and ahead: the field, the direction chosen.

In the beginning, there was your mouth,
a sky full of stars, raked or raking, clock-

wise or west, and in the close or mammoth 
matter, my heart’s red muscle, knocked and knocked.

In the beginning, there was your mouth,",Nostalgia
"Though branches bare stretch to the sky,
And frost makes crystals bloom,
The trees know spring will soon draw nigh—
Life conquers every tomb.",Hope&Joy
"The final act of day, a simple grace,
To find each object in its proper place.
The keys are in the bowl, the mail is read,
The shoes are by the door, the cat is fed.
The quiet clicking of the light switch, then
The house descends to darkness once again.
A simple closing of the chapter done,
Another small and quiet victory won
Against the chaos, and the coming night.
A silent, ordered, and domestic rite,
To smooth the edges of the day away,
And wait to do it all again, someday.",Everyday Life
"is even more fun than going to San Sebastian, Irún, Hendaye, Biarritz, Bayonne
or being sick to my stomach on the Travesera de Gracia in Barcelona
partly because in your orange shirt you look like a better happier St. Sebastian
partly because of my love for you, partly because of your love for yoghurt
partly because of the fluorescent orange tulips around the birches
partly because of the secrecy our smiles take on before people and statuary
it is hard to believe when I’m with you that there can be anything as still
as solemn as unpleasantly definitive as statuary when right in front of it
in the warm New York 4 o’clock light we are drifting back and forth
between each other like a tree breathing through its spectacles

and the portrait show seems to have no faces in it at all, just paint
you suddenly wonder why in the world anyone ever did them

I look
at you and I would rather look at you than all the portraits in the world
except possibly for the Polish Rider occasionally and anyway it’s in the Frick
which thank heavens you haven’t gone to yet so we can go together the first time
and the fact that you move so beautifully more or less takes care of Futurism
just as at home I never think of the Nude Descending a Staircase or
at a rehearsal a single drawing of Leonardo or Michelangelo that used to wow me
and what good does all the research of the Impressionists do them
when they never got the right person to stand near the tree when the sun sank
or for that matter Marino Marini when he didn’t pick the rider as carefully
as the horse

it seems they were all cheated of some marvelous experience
which is not going to go wasted on me which is why I am telling you about it",Romantic
"Looking up and down, around,
Nothing — I see the stress once found.
Literally confused, I sat on the ground,
Unaware, but I refused to stay bound.

Time passes like it never paused at all,
Things got back on track after all.
A heartfelt thanks to all my surroundings,
Especially to the one, my backbone and grounding.

I got my happiness back after all,
The biggest credit I give to God.
Everyone seeks to live in love and joy,
Help us, God, in each pathway.


Be positive and find joy each day,
Look for the good, come what may.
This life is short, a moment’s existence,
Find joy and happiness, step after step.",Hope&Joy
"Push me away !!

I really need 

That SLEEP 

Drives me to the utter silence ;

Tremendously deep 

Marks me 

With the aloneness 

Embraces me 

Like a true partner 

This blissful 

DARKNESS 



Push me away ..

I really need those words 

Which shatter the walls

Of these illusions 

A new breakthrough 

I find 

For these EMOTIONS 

Cracks that destroy 

Scatter and then 

Are ignored !

Painting me 

With dark blue 

And a pitiful white 



Push me away??

I really need this joy 

A taste long forgotten 

The words left unsaid 

The smile that's undelivered 

The hug ;abandoned 

The laugh; swallowed 

The kiss ;deserted 

I want that back 

That's the only thing I 

Now crave for 

And I lack 



Please 

Just 

Stay 

Close .....

I really need YOU....",Romantic
"I sit silently in a class, not exactly paying attention, but not drifting all the same.
I am stuck in that space, just before dissociation, just before conscious thought.
You still plague my mind, many years after you're gone, like you did just after the day you came.
You and I, against the world, nothing would stop us, our friendship was wrought.

I'm still in class, thinking of you, slipping away, like I always do.
I remember your hair, the purple I envied,
your manic eyes, constantly frenzied.
Your crooked bottom teeth, the rings that you wore,
your pretty singing voice, the way that you swore.

I know our memories are far and between
I wanted nothing more than to be seen
revered
loved
by you

I hope you remember me
as you are somewhere new
I hope you remember how
I loved you.

The teacher has been calling on me, my class is snickering
my head is filled with voices again, constant bickering.
It isn't the first time, and wont be the last,
that I get stuck in my head
remembering the past.",Misery
"The sailor sees the darkness fall,
The waves rise high like mountain peaks,
But there, beyond the chaos wild,
A light revolves against the black,
A beacon shining, strong and mild,
A promise that he'll make it back.
The lighthouse keeper tends the flame,
Through every storm and every gale,
He doesn't know the sailor's name,
But guards the light lest hope should fail.
So be a lighthouse where you stand,
Hold steady through the darkest night,
Reach out with your illumined hand,
And be somebody's guiding light.",Hope&Joy
"I shall gather myself into myself again,
 I shall take my scattered selves and make them one,
Fusing them into a polished crystal ball
 Where I can see the moon and the flashing sun.

I shall sit like a sibyl, hour after hour intent,
 Watching the future come and the present go,
And the little shifting pictures of people rushing
 In restless self-importance to and fro.",Nostalgia
"My body is a house I do not own,
A haunted place where I must live alone.
The floorboards creak with footsteps of a ghost,
The one who knows the things that hurt the most.
The windows show a world I can't embrace,
A pane of glass between me and that place.
The ghost is me, the house is my own head,
And every night I go to a cold bed.",Misery
